grade,unit,section,sectionType,exerciseNumber,sourceImage,sourceAsset,sourceRegion,activityType,verificationStatus,activationStatus
2,1,book-grammar-2,Grammar 2,multiple / mapped,frame_0022.png | frame_0023.png,grade2-source/original/book1/frame_0022.webp | grade2-source/original/book1/frame_0023.webp,full_page_capture; section heading or content area,mapping_only,ocr_extracted_needs_review,blocked_needs_visual_review
2,1,book-grammar-practice-2,Grammar Practice 2,multiple / mapped,frame_0023.png,grade2-source/original/book1/frame_0023.webp,full_page_capture; section heading or content area,mapping_only,ocr_extracted_needs_review,blocked_needs_visual_review
2,1,book-writing,Writing,multiple / mapped,frame_0024.png | frame_0025.png,grade2-source/original/book1/frame_0024.webp | grade2-source/original/book1/frame_0025.webp,full_page_capture; section heading or content area,interactive_bookExercise,ocr_extracted_needs_review,active
2,1,book-writing-skill,Writing Skill,multiple / mapped,frame_0024.png,grade2-source/original/book1/frame_0024.webp,full_page_capture; section heading or content area,mapping_only,ocr_extracted_needs_review,blocked_needs_visual_review
2,1,book-review-unit-check,Review/Unit Check,multiple / mapped,frame_0024.png | frame_0025.png,grade2-source/original/book1/frame_0024.webp | grade2-source/original/book1/frame_0025.webp,full_page_capture; section heading or content area,mapping_only,ocr_extracted_needs_review,blocked_needs_visual_review
2,1,book-value,Value,multiple / mapped,frame_0025.png,grade2-source/original/book1/frame_0025.webp,full_page_capture; section heading or content area,mapping_only,ocr_extracted_needs_review,blocked_needs_visual_review
2,1,book-project,Project,multiple / mapped,frame_0025.png,grade2-source/original/book1/frame_0025.webp,full_page_capture; section heading or content area,mapping_only,ocr_extracted_needs_review,blocked_needs_visual_review
2,1,sourcebook,Khác,multiple / mapped,frame_0014.png | frame_0015.png | frame_0016.png | frame_0017.png | frame_0018.png | frame_0019.png | frame_0020.png | frame_0021.png | frame_0022.png | frame_0023.png | frame_0024.png | frame_0025.png,grade2-source/original/book1/frame_0014.webp | grade2-source/original/book1/frame_0015.webp | grade2-source/original/book1/frame_0016.webp | grade2-source/original/book1/frame_0017.webp | grade2-source/original/book1/frame_0018.webp | grade2-source/original/book1/frame_0019.webp | grade2-source/original/book1/frame_0020.webp | grade2-source/original/book1/frame_0021.webp | grade2-source/original/book1/frame_0022.webp | grade2-source/original/book1/frame_0023.webp | grade2-source/original/book1/frame_0024.webp | grade2-source/original/book1/frame_0025.webp,full_page_capture,mapping_only,verified_from_image,mapped_not_yet_interactive
2,2,book-big-question,Big Question,multiple / mapped,frame_0026.png,grade2-source/original/book1/frame_0026.webp,full_page_capture; section heading or content area,mapping_only,verified_from_image,mapped_not_yet_interactive
2,2,book-vocabulary-1,Vocabulary 1,multiple / mapped,frame_0027.png | frame_0028.png,grade2-source/original/book1/frame_0027.webp | grade2-source/original/book1/frame_0028.webp,full_page_capture; section heading or content area,interactive_bookExercise,verified_from_image,active
2,2,book-pronunciation,Pronunciation,multiple / mapped,frame_0026.png,grade2-source/original/book1/frame_0026.webp,full_page_capture; section heading or content area,mapping_only,needs_review,mapped_not_yet_interactive
2,2,book-reading-1,Reading 1,multiple / mapped,frame_0028.png | frame_0029.png,grade2-source/original/book1/frame_0028.webp | grade2-source/original/book1/frame_0029.webp,full_page_capture; section heading or content area,mapping_only,ocr_extracted_needs_review,blocked_needs_visual_review
2,2,book-reading-skill,Reading Skill,multiple / mapped,frame_0029.png | frame_0033.png,grade2-source/original/book1/frame_0029.webp | grade2-source/original/book1/frame_0033.webp,full_page_capture; section heading or content area,mapping_only,ocr_extracted_needs_review,blocked_needs_visual_review
2,2,book-grammar-1,Grammar 1,multiple / mapped,frame_0030.png,grade2-source/original/book1/frame_0030.webp,full_page_capture; section heading or content area,mapping_only,ocr_extracted_needs_review,blocked_needs_visual_review
2,2,book-grammar-practice-1,Grammar Practice 1,multiple / mapped,frame_0030.png,grade2-source/original/book1/frame_0030.webp,full_page_capture; section heading or content area,mapping_only,ocr_extracted_needs_review,blocked_needs_visual_review
2,2,book-listening,Listening,multiple / mapped,frame_0030.png | frame_0031.png | frame_0032.png,grade2-source/original/book1/frame_0030.webp | grade2-source/original/book1/frame_0031.webp | grade2-source/original/book1/frame_0032.webp,full_page_capture; section heading or content area,mapping_only,ocr_extracted_needs_review,blocked_needs_visual_review
2,2,book-speaking-communication,Speaking/Communication,multiple / mapped,frame_0030.png | frame_0031.png | frame_0035.png,grade2-source/original/book1/frame_0030.webp | grade2-source/original/book1/frame_0031.webp | grade2-source/original/book1/frame_0035.webp,full_page_capture; section heading or content area,mapping_only,ocr_extracted_needs_review,blocked_needs_visual_review
2,2,book-vocabulary-2,Vocabulary 2,multiple / mapped,frame_0031.png | frame_0032.png,grade2-source/original/book1/frame_0031.webp | grade2-source/original/book1/frame_0032.webp,full_page_capture; section heading or content area,interactive_bookExercise,verified_from_image,active
2,2,book-reading-2,Reading 2,multiple / mapped,frame_0032.png | frame_0033.png | frame_0034.png,grade2-source/original/book1/frame_0032.webp | grade2-source/original/book1/frame_0033.webp | grade2-source/original/book1/frame_0034.webp,full_page_capture; section heading or content area,mapping_only,ocr_extracted_needs_review,blocked_needs_visual_review
2,2,book-grammar-2,Grammar 2,multiple / mapped,frame_0034.png | frame_0035.png,grade2-source/original/book1/frame_0034.webp | grade2-source/original/book1/frame_0035.webp,full_page_capture; section heading or content area,mapping_only,ocr_extracted_needs_review,blocked_needs_visual_review
2,2,book-grammar-practice-2,Grammar Practice 2,multiple / mapped,frame_0035.png,grade2-source/original/book1/frame_0035.webp,full_page_capture; section heading or content area,mapping_only,ocr_extracted_needs_review,blocked_needs_visual_review
2,2,book-writing,Writing,multiple / mapped,frame_0036.png | frame_0037.png,grade2-source/original/book1/frame_0036.webp | grade2-source/original/book1/frame_0037.webp,full_page_capture; section heading or content area,mapping_only,ocr_extracted_needs_review,blocked_needs_visual_review
2,2,book-writing-skill,Writing Skill,multiple / mapped,frame_0036.png,grade2-source/original/book1/frame_0036.webp,full_page_capture; section heading or content area,mapping_only,ocr_extracted_needs_review,blocked_needs_visual_review
2,2,book-review-unit-check,Review/Unit Check,multiple / mapped,frame_0036.png | frame_0037.png,grade2-source/original/book1/frame_0036.webp | grade2-source/original/book1/frame_0037.webp,full_page_capture; section heading or content area,mapping_only,ocr_extracted_needs_review,blocked_needs_visual_review
2,2,book-value,Value,multiple / mapped,frame_0037.png,grade2-source/original/book1/frame_0037.webp,full_page_capture; section heading or content area,mapping_only,ocr_extracted_needs_review,blocked_needs_visual_review
2,2,book-project,Project,multiple / mapped,frame_0037.png,grade2-source/original/book1/frame_0037.webp,full_page_capture; section heading or content area,mapping_only,ocr_extracted_needs_review,blocked_needs_visual_review
2,2,sourcebook,Khác,multiple / mapped,frame_0026.png | frame_0027.png | frame_0028.png | frame_0029.png | frame_0030.png | frame_0031.png | frame_0032.png | frame_0033.png | frame_0034.png | frame_0035.png | frame_0036.png | frame_0037.png,grade2-source/original/book1/frame_0026.webp | grade2-source/original/book1/frame_0027.webp | grade2-source/original/book1/frame_0028.webp | grade2-source/original/book1/frame_0029.webp | grade2-source/original/book1/frame_0030.webp | grade2-source/original/book1/frame_0031.webp | grade2-source/original/book1/frame_0032.webp | grade2-source/original/book1/frame_0033.webp | grade2-source/original/book1/frame_0034.webp | grade2-source/original/book1/frame_0035.webp | grade2-source/original/book1/frame_0036.webp | grade2-source/original/book1/frame_0037.webp,full_page_capture,mapping_only,verified_from_image,mapped_not_yet_interactive
2,3,book-big-question,Big Question,multiple / mapped,frame_0038.png,grade2-source/original/book1/frame_0038.webp,full_page_capture; section heading or content area,mapping_only,verified_from_image,mapped_not_yet_interactive
2,3,book-vocabulary-1,Vocabulary 1,multiple / mapped,frame_0039.png | frame_0040.png,grade2-source/original/book1/frame_0039.webp | grade2-source/original/book1/frame_0040.webp,full_page_capture; section heading or content area,interactive_bookExercise,verified_from_image,active
2,3,book-pronunciation,Pronunciation,multiple / mapped,frame_0038.png,grade2-source/original/book1/frame_0038.webp,full_page_capture; section heading or content area,mapping_only,needs_review,mapped_not_yet_interactive
2,3,book-reading-1,Reading 1,multiple / mapped,frame_0040.png | frame_0041.png,grade2-source/original/book1/frame_0040.webp | grade2-source/original/book1/frame_0041.webp,full_page_capture; section heading or content area,mapping_only,ocr_extracted_needs_review,blocked_needs_visual_review
2,3,book-reading-skill,Reading Skill,multiple / mapped,frame_0041.png | frame_0045.png,grade2-source/original/book1/frame_0041.webp | grade2-source/original/book1/frame_0045.webp,full_page_capture; section heading or content area,mapping_only,ocr_extracted_needs_review,blocked_needs_visual_review
2,3,book-grammar-1,Grammar 1,multiple / mapped,frame_0042.png,grade2-source/original/book1/frame_0042.webp,full_page_capture; section heading or content area,mapping_only,ocr_extracted_needs_review,blocked_needs_visual_review
2,3,book-grammar-practice-1,Grammar Practice 1,multiple / mapped,frame_0042.png,grade2-source/original/book1/frame_0042.webp,full_page_capture; section heading or content area,mapping_only,ocr_extracted_needs_review,blocked_needs_visual_review
2,3,book-listening,Listening,multiple / mapped,frame_0042.png | frame_0043.png,grade2-source/original/book1/frame_0042.webp | grade2-source/original/book1/frame_0043.webp,full_page_capture; section heading or content area,mapping_only,ocr_extracted_needs_review,blocked_needs_visual_review
2,3,book-speaking-communication,Speaking/Communication,multiple / mapped,frame_0042.png | frame_0043.png | frame_0047.png | frame_0048.png,grade2-source/original/book1/frame_0042.webp | grade2-source/original/book1/frame_0043.webp | grade2-source/original/book1/frame_0047.webp | grade2-source/original/book1/frame_0048.webp,full_page_capture; section heading or content area,mapping_only,ocr_extracted_needs_review,blocked_needs_visual_review
2,3,book-vocabulary-2,Vocabulary 2,multiple / mapped,frame_0043.png | frame_0044.png,grade2-source/original/book1/frame_0043.webp | grade2-source/original/book1/frame_0044.webp,full_page_capture; section heading or content area,interactive_bookExercise,verified_from_image,active
2,3,book-reading-2,Reading 2,multiple / mapped,frame_0044.png | frame_0045.png | frame_0046.png,grade2-source/original/book1/frame_0044.webp | grade2-source/original/book1/frame_0045.webp | grade2-source/original/book1/frame_0046.webp,full_page_capture; section heading or content area,mapping_only,ocr_extracted_needs_review,blocked_needs_visual_review
2,3,book-grammar-2,Grammar 2,multiple / mapped,frame_0046.png | frame_0047.png,grade2-source/original/book1/frame_0046.webp | grade2-source/original/book1/frame_0047.webp,full_page_capture; section heading or content area,mapping_only,ocr_extracted_needs_review,blocked_needs_visual_review
2,3,book-grammar-practice-2,Grammar Practice 2,multiple / mapped,frame_0047.png,grade2-source/original/book1/frame_0047.webp,full_page_capture; section heading or content area,mapping_only,ocr_extracted_needs_review,blocked_needs_visual_review
2,3,book-writing,Writing,multiple / mapped,frame_0048.png | frame_0049.png,grade2-source/original/book1/frame_0048.webp | grade2-source/original/book1/frame_0049.webp,full_page_capture; section heading or content area,mapping_only,ocr_extracted_needs_review,blocked_needs_visual_review
2,3,book-writing-skill,Writing Skill,multiple / mapped,frame_0048.png | frame_0049.png,grade2-source/original/book1/frame_0048.webp | grade2-source/original/book1/frame_0049.webp,full_page_capture; section heading or content area,mapping_only,ocr_extracted_needs_review,blocked_needs_visual_review
2,3,book-review-unit-check,Review/Unit Check,multiple / mapped,frame_0048.png | frame_0049.png,grade2-source/original/book1/frame_0048.webp | grade2-source/original/book1/frame_0049.webp,full_page_capture; section heading or content area,mapping_only,ocr_extracted_needs_review,blocked_needs_visual_review
2,3,book-value,Value,multiple / mapped,frame_0049.png,grade2-source/original/book1/frame_0049.webp,full_page_capture; section heading or content area,mapping_only,ocr_extracted_needs_review,blocked_needs_visual_review
2,3,book-project,Project,multiple / mapped,frame_0049.png,grade2-source/original/book1/frame_0049.webp,full_page_capture; section heading or content area,mapping_only,ocr_extracted_needs_review,blocked_needs_visual_review
2,3,sourcebook,Khác,multiple / mapped,frame_0038.png | frame_0039.png | frame_0040.png | frame_0041.png | frame_0042.png | frame_0043.png | frame_0044.png | frame_0045.png | frame_0046.png | frame_0047.png | frame_0048.png | frame_0049.png,grade2-source/original/book1/frame_0038.webp | grade2-source/original/book1/frame_0039.webp | grade2-source/original/book1/frame_0040.webp | grade2-source/original/book1/frame_0041.webp | grade2-source/original/book1/frame_0042.webp | grade2-source/original/book1/frame_0043.webp | grade2-source/original/book1/frame_0044.webp | grade2-source/original/book1/frame_0045.webp | grade2-source/original/book1/frame_0046.webp | grade2-source/original/book1/frame_0047.webp | grade2-source/original/book1/frame_0048.webp | grade2-source/original/book1/frame_0049.webp,full_page_capture,mapping_only,verified_from_image,mapped_not_yet_interactive
2,4,book-big-question,Big Question,multiple / mapped,frame_0050.png,grade2-source/original/book1/frame_0050.webp,full_page_capture; section heading or content area,mapping_only,verified_from_image,mapped_not_yet_interactive
2,4,book-vocabulary-1,Vocabulary 1,multiple / mapped,frame_0051.png | frame_0052.png,grade2-source/original/book1/frame_0051.webp | grade2-source/original/book1/frame_0052.webp,full_page_capture; section heading or content area,interactive_bookExercise,verified_from_image,active
2,4,book-pronunciation,Pronunciation,multiple / mapped,frame_0050.png,grade2-source/original/book1/frame_0050.webp,full_page_capture; section heading or content area,mapping_only,needs_review,mapped_not_yet_interactive
2,4,book-reading-1,Reading 1,multiple / mapped,frame_0052.png | frame_0053.png,grade2-source/original/book1/frame_0052.webp | grade2-source/original/book1/frame_0053.webp,full_page_capture; section heading or content area,mapping_only,ocr_extracted_needs_review,blocked_needs_visual_review
2,4,book-reading-skill,Reading Skill,multiple / mapped,frame_0053.png | frame_0057.png,grade2-source/original/book1/frame_0053.webp | grade2-source/original/book1/frame_0057.webp,full_page_capture; section heading or content area,mapping_only,ocr_extracted_needs_review,blocked_needs_visual_review
2,4,book-grammar-1,Grammar 1,multiple / mapped,frame_0054.png,grade2-source/original/book1/frame_0054.webp,full_page_capture; section heading or content area,mapping_only,ocr_extracted_needs_review,blocked_needs_visual_review
2,4,book-grammar-practice-1,Grammar Practice 1,multiple / mapped,frame_0054.png,grade2-source/original/book1/frame_0054.webp,full_page_capture; section heading or content area,mapping_only,ocr_extracted_needs_review,blocked_needs_visual_review
2,4,book-listening,Listening,multiple / mapped,frame_0054.png | frame_0055.png,grade2-source/original/book1/frame_0054.webp | grade2-source/original/book1/frame_0055.webp,full_page_capture; section heading or content area,mapping_only,ocr_extracted_needs_review,blocked_needs_visual_review
2,4,book-speaking-communication,Speaking/Communication,multiple / mapped,frame_0054.png | frame_0059.png,grade2-source/original/book1/frame_0054.webp | grade2-source/original/book1/frame_0059.webp,full_page_capture; section heading or content area,mapping_only,ocr_extracted_needs_review,blocked_needs_visual_review
2,4,book-vocabulary-2,Vocabulary 2,multiple / mapped,frame_0055.png | frame_0056.png,grade2-source/original/book1/frame_0055.webp | grade2-source/original/book1/frame_0056.webp,full_page_capture; section heading or content area,interactive_bookExercise,verified_from_image,active
2,4,book-reading-2,Reading 2,multiple / mapped,frame_0056.png | frame_0057.png | frame_0058.png,grade2-source/original/book1/frame_0056.webp | grade2-source/original/book1/frame_0057.webp | grade2-source/original/book1/frame_0058.webp,full_page_capture; section heading or content area,mapping_only,ocr_extracted_needs_review,blocked_needs_visual_review
2,4,book-grammar-2,Grammar 2,multiple / mapped,frame_0058.png | frame_0059.png,grade2-source/original/book1/frame_0058.webp | grade2-source/original/book1/frame_0059.webp,full_page_capture; section heading or content area,mapping_only,ocr_extracted_needs_review,blocked_needs_visual_review
2,4,book-grammar-practice-2,Grammar Practice 2,multiple / mapped,frame_0059.png,grade2-source/original/book1/frame_0059.webp,full_page_capture; section heading or content area,mapping_only,ocr_extracted_needs_review,blocked_needs_visual_review
2,4,book-writing,Writing,multiple / mapped,frame_0060.png | frame_0061.png,grade2-source/original/book1/frame_0060.webp | grade2-source/original/book1/frame_0061.webp,full_page_capture; section heading or content area,mapping_only,ocr_extracted_needs_review,blocked_needs_visual_review
2,4,book-writing-skill,Writing Skill,multiple / mapped,frame_0060.png,grade2-source/original/book1/frame_0060.webp,full_page_capture; section heading or content area,mapping_only,ocr_extracted_needs_review,blocked_needs_visual_review
2,4,book-review-unit-check,Review/Unit Check,multiple / mapped,frame_0060.png | frame_0061.png,grade2-source/original/book1/frame_0060.webp | grade2-source/original/book1/frame_0061.webp,full_page_capture; section heading or content area,mapping_only,ocr_extracted_needs_review,blocked_needs_visual_review
2,4,book-value,Value,multiple / mapped,frame_0061.png,grade2-source/original/book1/frame_0061.webp,full_page_capture; section heading or content area,mapping_only,ocr_extracted_needs_review,blocked_needs_visual_review
2,4,book-project,Project,multiple / mapped,frame_0061.png,grade2-source/original/book1/frame_0061.webp,full_page_capture; section heading or content area,mapping_only,ocr_extracted_needs_review,blocked_needs_visual_review
2,4,sourcebook,Khác,multiple / mapped,frame_0050.png | frame_0051.png | frame_0052.png | frame_0053.png | frame_0054.png | frame_0055.png | frame_0056.png | frame_0057.png | frame_0058.png | frame_0059.png | frame_0060.png | frame_0061.png,grade2-source/original/book1/frame_0050.webp | grade2-source/original/book1/frame_0051.webp | grade2-source/original/book1/frame_0052.webp | grade2-source/original/book1/frame_0053.webp | grade2-source/original/book1/frame_0054.webp | grade2-source/original/book1/frame_0055.webp | grade2-source/original/book1/frame_0056.webp | grade2-source/original/book1/frame_0057.webp | grade2-source/original/book1/frame_0058.webp | grade2-source/original/book1/frame_0059.webp | grade2-source/original/book1/frame_0060.webp | grade2-source/original/book1/frame_0061.webp,full_page_capture,mapping_only,verified_from_image,mapped_not_yet_interactive
2,5,book-big-question,Big Question,multiple / mapped,frame_0062.png,grade2-source/original/book1/frame_0062.webp,full_page_capture; section heading or content area,mapping_only,verified_from_image,mapped_not_yet_interactive
2,5,book-vocabulary-1,Vocabulary 1,multiple / mapped,frame_0063.png | frame_0064.png,grade2-source/original/book1/frame_0063.webp | grade2-source/original/book1/frame_0064.webp,full_page_capture; section heading or content area,interactive_bookExercise,verified_from_image,active
2,5,book-pronunciation,Pronunciation,multiple / mapped,frame_0062.png,grade2-source/original/book1/frame_0062.webp,full_page_capture; section heading or content area,mapping_only,needs_review,mapped_not_yet_interactive
2,5,book-reading-1,Reading 1,multiple / mapped,frame_0064.png | frame_0065.png,grade2-source/original/book1/frame_0064.webp | grade2-source/original/book1/frame_0065.webp,full_page_capture; section heading or content area,mapping_only,ocr_extracted_needs_review,blocked_needs_visual_review
2,5,book-reading-skill,Reading Skill,multiple / mapped,frame_0065.png | frame_0069.png,grade2-source/original/book1/frame_0065.webp | grade2-source/original/book1/frame_0069.webp,full_page_capture; section heading or content area,mapping_only,ocr_extracted_needs_review,blocked_needs_visual_review
2,5,book-grammar-1,Grammar 1,multiple / mapped,frame_0066.png,grade2-source/original/book1/frame_0066.webp,full_page_capture; section heading or content area,mapping_only,ocr_extracted_needs_review,blocked_needs_visual_review
2,5,book-grammar-practice-1,Grammar Practice 1,multiple / mapped,frame_0066.png,grade2-source/original/book1/frame_0066.webp,full_page_capture; section heading or content area,mapping_only,ocr_extracted_needs_review,blocked_needs_visual_review
2,5,book-listening,Listening,multiple / mapped,frame_0066.png | frame_0067.png,grade2-source/original/book1/frame_0066.webp | grade2-source/original/book1/frame_0067.webp,full_page_capture; section heading or content area,mapping_only,ocr_extracted_needs_review,blocked_needs_visual_review
2,5,book-speaking-communication,Speaking/Communication,multiple / mapped,frame_0066.png | frame_0070.png | frame_0071.png,grade2-source/original/book1/frame_0066.webp | grade2-source/original/book1/frame_0070.webp | grade2-source/original/book1/frame_0071.webp,full_page_capture; section heading or content area,mapping_only,ocr_extracted_needs_review,blocked_needs_visual_review
2,5,book-vocabulary-2,Vocabulary 2,multiple / mapped,frame_0067.png | frame_0068.png,grade2-source/original/book1/frame_0067.webp | grade2-source/original/book1/frame_0068.webp,full_page_capture; section heading or content area,interactive_bookExercise,verified_from_image,active
2,5,book-reading-2,Reading 2,multiple / mapped,frame_0068.png | frame_0069.png | frame_0070.png,grade2-source/original/book1/frame_0068.webp | grade2-source/original/book1/frame_0069.webp | grade2-source/original/book1/frame_0070.webp,full_page_capture; section heading or content area,mapping_only,ocr_extracted_needs_review,blocked_needs_visual_review
2,5,book-grammar-2,Grammar 2,multiple / mapped,frame_0070.png | frame_0071.png,grade2-source/original/book1/frame_0070.webp | grade2-source/original/book1/frame_0071.webp,full_page_capture; section heading or content area,mapping_only,ocr_extracted_needs_review,blocked_needs_visual_review
2,5,book-grammar-practice-2,Grammar Practice 2,multiple / mapped,frame_0071.png,grade2-source/original/book1/frame_0071.webp,full_page_capture; section heading or content area,mapping_only,ocr_extracted_needs_review,blocked_needs_visual_review
2,5,book-writing,Writing,multiple / mapped,frame_0072.png | frame_0073.png,grade2-source/original/book1/frame_0072.webp | grade2-source/original/book1/frame_0073.webp,full_page_capture; section heading or content area,mapping_only,ocr_extracted_needs_review,blocked_needs_visual_review
2,5,book-writing-skill,Writing Skill,multiple / mapped,frame_0072.png,grade2-source/original/book1/frame_0072.webp,full_page_capture; section heading or content area,mapping_only,ocr_extracted_needs_review,blocked_needs_visual_review
2,5,book-review-unit-check,Review/Unit Check,multiple / mapped,frame_0072.png | frame_0073.png,grade2-source/original/book1/frame_0072.webp | grade2-source/original/book1/frame_0073.webp,full_page_capture; section heading or content area,mapping_only,ocr_extracted_needs_review,blocked_needs_visual_review
2,5,book-value,Value,multiple / mapped,frame_0073.png,grade2-source/original/book1/frame_0073.webp,full_page_capture; section heading or content area,mapping_only,ocr_extracted_needs_review,blocked_needs_visual_review
2,5,book-project,Project,multiple / mapped,frame_0073.png,grade2-source/original/book1/frame_0073.webp,full_page_capture; section heading or content area,mapping_only,ocr_extracted_needs_review,blocked_needs_visual_review
2,5,sourcebook,Khác,multiple / mapped,frame_0062.png | frame_0063.png | frame_0064.png | frame_0065.png | frame_0066.png | frame_0067.png | frame_0068.png | frame_0069.png | frame_0070.png | frame_0071.png | frame_0072.png | frame_0073.png,grade2-source/original/book1/frame_0062.webp | grade2-source/original/book1/frame_0063.webp | grade2-source/original/book1/frame_0064.webp | grade2-source/original/book1/frame_0065.webp | grade2-source/original/book1/frame_0066.webp | grade2-source/original/book1/frame_0067.webp | grade2-source/original/book1/frame_0068.webp | grade2-source/original/book1/frame_0069.webp | grade2-source/original/book1/frame_0070.webp | grade2-source/original/book1/frame_0071.webp | grade2-source/original/book1/frame_0072.webp | grade2-source/original/book1/frame_0073.webp,full_page_capture,mapping_only,verified_from_image,mapped_not_yet_interactive
2,6,book-big-question,Big Question,multiple / mapped,frame_0074.png,grade2-source/original/book1/frame_0074.webp,full_page_capture; section heading or content area,mapping_only,verified_from_image,mapped_not_yet_interactive
2,6,book-vocabulary-1,Vocabulary 1,multiple / mapped,frame_0075.png | frame_0076.png,grade2-source/original/book1/frame_0075.webp | grade2-source/original/book1/frame_0076.webp,full_page_capture; section heading or content area,interactive_bookExercise,verified_from_image,active
2,6,book-pronunciation,Pronunciation,multiple / mapped,frame_0074.png,grade2-source/original/book1/frame_0074.webp,full_page_capture; section heading or content area,mapping_only,needs_review,mapped_not_yet_interactive
2,6,book-reading-1,Reading 1,multiple / mapped,frame_0076.png | frame_0077.png,grade2-source/original/book1/frame_0076.webp | grade2-source/original/book1/frame_0077.webp,full_page_capture; section heading or content area,interactive_bookExercise,ocr_extracted_needs_review,active
2,6,book-reading-skill,Reading Skill,multiple / mapped,frame_0077.png | frame_0081.png | frame_0082.png,grade2-source/original/book1/frame_0077.webp | grade2-source/original/book1/frame_0081.webp | grade2-source/original/book1/frame_0082.webp,full_page_capture; section heading or content area,mapping_only,ocr_extracted_needs_review,blocked_needs_visual_review
2,6,book-grammar-1,Grammar 1,multiple / mapped,frame_0078.png,grade2-source/original/book1/frame_0078.webp,full_page_capture; section heading or content area,interactive_bookExercise,ocr_extracted_needs_review,active
2,6,book-grammar-practice-1,Grammar Practice 1,multiple / mapped,frame_0078.png,grade2-source/original/book1/frame_0078.webp,full_page_capture; section heading or content area,mapping_only,ocr_extracted_needs_review,blocked_needs_visual_review
2,6,book-listening,Listening,multiple / mapped,frame_0078.png | frame_0079.png,grade2-source/original/book1/frame_0078.webp | grade2-source/original/book1/frame_0079.webp,full_page_capture; section heading or content area,mapping_only,ocr_extracted_needs_review,blocked_needs_visual_review
2,6,book-speaking-communication,Speaking/Communication,multiple / mapped,frame_0078.png | frame_0079.png | frame_0083.png | frame_0085.png,grade2-source/original/book1/frame_0078.webp | grade2-source/original/book1/frame_0079.webp | grade2-source/original/book1/frame_0083.webp | grade2-source/original/book1/frame_0085.webp,full_page_capture; section heading or content area,interactive_bookExercise,ocr_extracted_needs_review,active
2,6,book-vocabulary-2,Vocabulary 2,multiple / mapped,frame_0079.png | frame_0080.png,grade2-source/original/book1/frame_0079.webp | grade2-source/original/book1/frame_0080.webp,full_page_capture; section heading or content area,interactive_bookExercise,verified_from_image,active
2,6,book-reading-2,Reading 2,multiple / mapped,frame_0080.png | frame_0081.png | frame_0082.png,grade2-source/original/book1/frame_0080.webp | grade2-source/original/book1/frame_0081.webp | grade2-source/original/book1/frame_0082.webp,full_page_capture; section heading or content area,mapping_only,ocr_extracted_needs_review,blocked_needs_visual_review
